,Journal,Publication_Date,URL_link,Wright_count,ford_count,gilliland_count,kasting_count,luhman_count,sigurdsson_count,wolszczan_count
0,Astronomy and Astrophysics,2009-03-00,2009A%26A...496..513M,0,0,0,0,0,0,0
1,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,1,0,0,0,0,0,0
2,Astronomy and Astrophysics,2009-03-00,2009A%26A...496..513M,0,0,0,0,0,0,0
3,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,1,0,0,0,0,0,0
4,Astronomy and Astrophysics,2009-03-00,2009A%26A...496..527B,0,0,0,0,0,0,0
5,The Astrophysical Journal,2009-12-00,2009ApJ...707..768N,0,0,0,0,0,0,1
6,Astronomy and Astrophysics,2009-01-00,2009A%26A...493..645F,0,0,0,0,0,0,0
7,Astronomy and Astrophysics,2009-06-00,2009A%26A...499..935D,0,0,0,0,0,0,0
8,Astronomy and Astrophysics,2009-03-00,2009A%26A...496..527B,0,0,0,0,0,0,0
9,The Astrophysical Journal,2009-01-00,2009ApJ...690..743B,0,0,0,0,0,0,0
10,The Astrophysical Journal,2009-09-00,2009ApJ...703..752L,0,0,0,0,0,0,0
11,Publications of the Astronomical Society of the Pacific,2009-06-00,2009PASP..121..613P,1,0,0,0,0,0,0
12,The Astrophysical Journal,2009-12-00,2009ApJ...707..446B,0,0,0,0,0,0,0
13,The Astrophysical Journal,2009-01-00,2009ApJ...690L..89H,0,0,0,0,0,0,0
14,The Astrophysical Journal,2009-12-00,2009ApJ...707..768N,0,0,0,0,0,0,1
15,The Astrophysical Journal,2009-05-00,2009ApJ...696...75H,1,0,0,0,0,0,0
16,Astronomy and Astrophysics,2009-03-00,2009A%26A...496..513M,0,0,0,0,0,0,0
17,Astronomy and Astrophysics,2009-03-00,2009A%26A...496..513M,0,0,0,0,0,0,0
18,The Astrophysical Journal,2009-01-00,2009ApJ...690.1393S,0,0,0,0,0,0,0
19,Astronomy and Astrophysics,2009-01-00,2009A%26A...493..639M,0,0,0,0,0,0,0
20,Astronomy and Astrophysics,2009-07-00,2009A%26A...501..785G,0,0,0,0,0,0,0
21,Research in Astronomy and Astrophysics,2009-01-00,2009RAA.....9....1L,0,0,0,0,0,0,0
22,The Astrophysical Journal,2009-10-00,2009ApJ...703.1545F,1,0,0,0,0,0,0
23,Astronomy and Astrophysics,2009-03-00,2009A%26A...496..527B,0,0,0,0,0,0,0
24,Astronomy and Astrophysics,2009-10-00,2009A%26A...506..281R,0,0,0,0,0,0,0
