,Bender_count,Journal,Kopparapu_count,Morehead_count,Nelson_count,Publication_Date,Robertson_count,Schwab_count,Sharon_count,URL_link
493,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
494,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
495,0,Astronomy and Astrophysics,0,0,0,2011-07-00,0,0,0,2011A%26A...531A..60A
496,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A.112L
497,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
498,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
499,0,The Astrophysical Journal,0,0,0,2011-03-00,0,0,0,2011ApJ...730...10H
500,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
501,0,Astronomy and Astrophysics,0,0,0,2011-10-00,0,0,0,2011A%26A...534A..58P
502,0,Astronomy and Astrophysics,0,0,0,2011-07-00,0,0,0,2011A%26A...531A..41C
503,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
504,0,Astronomy and Astrophysics,0,0,0,2011-02-00,0,0,0,2011A%26A...526A.111M
505,0,The Astrophysical Journal,0,0,0,2011-02-00,0,0,0,2011ApJ...727..117M
506,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A.112L
507,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
508,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
509,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
510,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
511,0,The Astronomical Journal,0,0,0,2011-01-00,0,1,0,2011AJ....141...16J
512,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
513,0,Publications of the Astronomical Society of the Pacific,0,0,0,2011-05-00,0,0,0,2011PASP..123..555A
514,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A.111B
515,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
516,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
517,0,Astronomy and Astrophysics,0,0,0,2011-11-00,0,0,0,2011A%26A...535A..55D
518,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
519,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
520,0,The Astrophysical Journal,0,0,0,2011-02-00,0,0,0,2011ApJ...728..138H
521,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
522,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
523,0,The Astrophysical Journal,0,0,0,2011-12-00,0,0,0,2011ApJ...742..116B
524,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
525,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
526,0,The Astrophysical Journal,0,0,0,2011-01-00,0,0,0,2011ApJ...726...73H
527,0,Astronomy and Astrophysics,0,0,0,2011-10-00,0,0,0,2011A%26A...534A..58P
528,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
529,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
530,0,Astronomy and Astrophysics,0,0,0,2011-01-00,0,0,0,2011A&A...525A..54B
531,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
532,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
533,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
534,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
535,0,Nature,0,1,0,2011-02-00,0,0,0,2011Natur.470...53L
536,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
537,0,Astronomy and Astrophysics,0,0,0,2011-11-00,0,0,0,2011A%26A...535A..54S
538,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
539,0,Astronomy and Astrophysics,0,0,0,2011-11-00,0,0,0,2011A%26A...535A..55D
540,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
541,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
542,0,Astronomy and Astrophysics,0,0,0,2011-10-00,0,0,0,2011A%26A...534A..58P
543,0,European Physical Journal Web of Conferences,0,0,0,2011-02-00,0,0,0,2011EPJWC..1102006D
544,0,The Astrophysical Journal,0,0,0,2011-06-00,0,0,0,2011ApJ...733..116B
545,0,The Astrophysical Journal,0,0,0,2011-02-00,0,0,0,2011ApJ...727..103T
546,0,The Astrophysical Journal,0,0,0,2011-11-00,0,0,0,2011ApJ...741..114M
547,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
548,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
549,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
550,0,Astronomy and Astrophysics,0,0,0,2011-05-00,0,0,0,2011A%26A...529A.102B
551,0,The Astrophysical Journal,0,0,0,2011-03-00,0,0,0,2011ApJ...730...10H
552,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
553,0,Astronomy and Astrophysics,0,0,0,2011-10-00,0,0,0,2011A%26A...534A..58P
554,0,The Astrophysical Journal,0,0,0,2011-12-00,0,0,0,2011ApJ...742..116B
555,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A.112L
556,0,Astronomy and Astrophysics,0,0,0,2011-03-00,0,0,0,2011A%26A...527A..63M
557,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
558,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A.112L
559,0,The Astronomical Journal,0,0,0,2011-01-00,0,1,0,2011AJ....141...16J
560,0,The Astronomical Journal,0,0,0,2011-01-00,0,0,0,2011AJ....141....8S
561,0,Astronomy and Astrophysics,0,0,0,2013-01-00,0,0,0,1111.5019
562,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
563,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A..63S
564,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
565,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
566,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
567,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
568,0,Astronomy and Astrophysics,0,0,0,2011-05-00,0,0,0,2011A%26A...529A.134L
569,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A.112L
570,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
571,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
572,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
573,0,Astronomy and Astrophysics,0,0,0,2011-07-00,0,0,0,2011A%26A...531A..24T
574,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
575,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
576,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
577,0,Astronomy and Astrophysics,0,0,0,2011-11-00,0,0,0,2011A%26A...535A..55D
578,0,Astronomy and Astrophysics,0,0,0,2011-02-00,0,0,0,2011A%26A...526A.141F
579,0,The Astrophysical Journal,0,0,0,2011-12-00,0,0,0,2011ApJ...742..116B
580,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
581,0,The Astrophysical Journal Supplement Series,0,0,0,2011-12-00,0,0,0,2011ApJS..197...26J
582,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
583,0,Astronomy and Astrophysics,0,0,0,2011-02-00,0,0,0,2011A%26A...526A.111M
584,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
585,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
586,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
587,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
588,0,Astronomy and Astrophysics,0,0,0,2011-02-00,0,0,0,2011A%26A...526A.141F
589,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
590,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
591,0,Astronomy and Astrophysics,0,0,0,2011-02-00,0,0,0,2011A%26A...526A.111M
592,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
593,0,Astronomy and Astrophysics,0,0,0,2011-11-00,0,0,0,2011A%26A...535A..54S
594,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
595,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
596,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A..97T
597,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
598,0,The Astrophysical Journal,0,0,0,2011-01-00,0,0,0,2011ApJ...726...52H
599,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
600,0,Astronomy and Astrophysics,0,0,0,2011-11-00,0,0,0,2011A%26A...535A..55D
601,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
602,0,Nature,0,1,0,2011-02-00,0,0,0,2011Natur.470...53L
603,0,The Astrophysical Journal,0,0,0,2011-01-00,0,0,0,2011ApJ...726...52H
604,0,The Astrophysical Journal,0,0,0,2011-11-00,0,0,0,2011ApJ...742...59H
