,Journal,Publication_Date,URL_link,Wright_count,ford_count,gilliland_count,kasting_count,luhman_count,sigurdsson_count,wolszczan_count
0,The Astrophysical Journal,2014-03-00,2014arXiv1402.6534R,0,0,1,0,0,0,0
1,The Astrophysical Journal,1988-08-00,1988ApJ...331..902C,0,0,0,0,0,0,0
2,Nature,1989-05-00,1989Natur.339...38L,0,0,0,0,0,0,0
3,Nature,1992-01-00,1992Natur.355..145W,0,0,0,0,0,0,1
4,Nature,1992-01-00,1992Natur.355..145W,0,0,0,0,0,0,1
5,The Astrophysical Journal,1993-08-00,1993ApJ...413..339H,0,0,0,0,0,0,0
6,Science,1994-04-00,1994Sci...264..538W,0,0,0,0,0,0,0
7,Nature,1995-11-00,1995Natur.378..355M,0,0,0,0,0,0,0
8,The Astrophysical Journal,1996-06-00,1996ApJ...464L.153B,0,0,0,0,0,0,0
9,The Astrophysical Journal,1996-06-00,1996ApJ...464L.147M,0,0,0,0,0,0,0
10,The Astrophysical Journal,1997-07-00,1997ApJ...483L.111N,0,0,0,0,0,0,0
11,The Astrophysical Journal,1997-01-00,1997ApJ...474L.115B,0,0,0,0,0,0,0
12,The Astrophysical Journal,1997-07-00,1997ApJ...483..457C,0,0,0,0,0,0,0
13,The Astrophysical Journal,1997-01-00,1997ApJ...474L.115B,0,0,0,0,0,0,0
14,The Astrophysical Journal,1997-01-00,1997ApJ...474L.115B,0,0,0,0,0,0,0
15,Astronomy and Astrophysics,1998-10-00,1998A%26A...338L..67D,0,0,0,0,0,0,0
16,Publications of the Astronomical Society of the Pacific,1998-12-00,1998PASP..110.1389B,0,0,0,0,0,0,0
17,The Astrophysical Journal,1999-12-00,1999ApJ...526..916B,0,0,0,0,0,0,0
18,The Astrophysical Journal,1999-07-00,1999ApJ...520..239M,0,0,0,0,0,0,0
19,The Astrophysical Journal,1999-07-00,1999ApJ...520..239M,0,0,0,0,0,0,0
20,Publications of the Astronomical Society of the Pacific,1999-01-00,1999PASP..111...50F,0,0,0,0,0,0,0
21,Publications of the Astronomical Society of the Pacific,1999-01-00,1999PASP..111...50F,0,0,0,0,0,0,0
22,The Astrophysical Journal,1999-12-00,1999ApJ...526..916B,0,0,0,0,0,0,0
23,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0
24,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0
25,Astronomy and Astrophysics,2000-01-00,2000A%26A...353L..33K,0,0,0,0,0,0,0
26,The Astrophysical Journal,2000-12-00,2000ApJ...545..504B,0,0,0,0,0,0,0
27,Astronomy and Astrophysics,2000-04-00,2000A%26A...356..590U,0,0,0,0,0,0,0
28,The Astrophysical Journal,2000-04-00,2000ApJ...533L.147K,0,0,0,0,0,0,0
29,The Astrophysical Journal,2000-06-00,2000ApJ...536L..43M,0,0,0,0,0,0,0
30,Astronomy and Astrophysics,2000-02-00,2000A%26A...354...99Q,0,0,0,0,0,0,0
31,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0
32,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0
33,The Astrophysical Journal,2000-06-00,2000ApJ...536L..43M,0,0,0,0,0,0,0
34,The Astrophysical Journal,2000-12-00,2000ApJ...545..504B,0,0,0,0,0,0,0
35,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0
36,Astronomy and Astrophysics,2000-04-00,2000A%26A...356..599S,0,0,0,0,0,0,0
37,Astronomy and Astrophysics,2000-04-00,2000A%26A...356..590U,0,0,0,0,0,0,0
38,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0
39,The Astrophysical Journal,2000-12-00,2000ApJ...544L.145H,0,0,0,0,0,0,0
40,The Astrophysical Journal,2000-06-00,2000ApJ...536..902V,0,0,0,0,0,0,0
41,The Astrophysical Journal,2000-01-00,2000ApJ...529L..41H,0,0,0,0,0,0,0
42,The Astrophysical Journal,2001-07-00,2001ApJ...555..410B,0,0,0,0,0,0,0
43,The Astrophysical Journal,2001-04-00,2001ApJ...551.1107F,0,0,0,0,0,0,0
44,The Astrophysical Journal,2001-07-00,2001ApJ...555..418M,0,0,0,0,1,0,0
45,Astronomy and Astrophysics,2001-08-00,2001A%26A...375..205N,0,0,0,0,0,0,0
46,The Astrophysical Journal,2001-04-00,2001ApJ...551.1107F,0,0,0,0,0,0,0
47,Astronomy and Astrophysics,2001-12-00,2001A%26A...379..999S,0,0,0,0,0,0,0
48,The Astrophysical Journal,2001-04-00,2001ApJ...551.1107F,0,0,0,0,0,0,0
49,Astronomy and Astrophysics,2001-12-00,2001A%26A...379..999S,0,0,0,0,0,0,0
50,The Astrophysical Journal,2001-07-00,2001ApJ...555..410B,0,0,0,0,0,0,0
51,The Astrophysical Journal,2001-07-00,2001ApJ...556..296M,0,0,0,0,0,0,0
52,Astronomy and Astrophysics,2001-08-00,2001A%26A...375..205N,0,0,0,0,0,0,0
53,The Astrophysical Journal,2001-04-00,2001ApJ...551..507T,0,0,0,0,0,0,0
54,Astronomy and Astrophysics,2001-08-00,2001A%26A...375L..27N,0,0,0,0,0,0,0
55,Monthly Notices of the Royal Astronomical Society,2002-07-00,2002MNRAS.333..871J,0,0,0,0,0,0,0
56,Publications of the Astronomical Society of the Pacific,2002-05-00,2002PASP..114..529F,0,0,0,0,0,0,0
57,The Astrophysical Journal,2002-05-00,2002ApJ...571..528T,0,0,0,0,0,0,0
58,The Astrophysical Journal,2002-10-00,2002ApJ...578..565B,0,0,0,0,0,0,0
59,The Astrophysical Journal,2002-09-00,2002ApJ...576..478F,0,0,0,0,0,0,0
60,Astronomy and Astrophysics,2002-07-00,2002A%26A...390..267U,0,0,0,0,0,0,0
61,Astronomy and Astrophysics,2002-07-00,2002A%26A...390..267U,0,0,0,0,0,0,0
62,The Astrophysical Journal,2002-01-00,2002ApJ...564.1028F,0,0,0,0,0,0,0
63,The Astrophysical Journal,2004-10-00,2004ApJ...614L..81M,0,0,0,0,0,0,0
64,The Astrophysical Journal,2002-05-00,2002ApJ...571..528T,0,0,0,0,0,0,0
65,Astronomy and Astrophysics,2002-06-00,2002A%26A...388..632P,0,0,0,0,0,0,0
66,Astronomy and Astrophysics,2002-06-00,2002A%26A...388..632P,0,0,0,0,0,0,0
67,The Astrophysical Journal,2002-03-00,2002ApJ...568..363Z,0,0,0,0,0,0,0
68,Monthly Notices of the Royal Astronomical Society,2002-12-00,2002MNRAS.337.1170J,0,0,0,0,0,0,0
69,The Astrophysical Journal,2002-03-00,2002ApJ...568..352V,0,0,0,0,0,0,0
70,Publications of the Astronomical Society of the Pacific,2002-05-00,2002PASP..114..529F,0,0,0,0,0,0,0
71,Astronomy and Astrophysics,2002-07-00,2002A%26A...390..267U,0,0,0,0,0,0,0
72,The Astrophysical Journal,2002-03-00,2002ApJ...568..352V,0,0,0,0,0,0,0
73,The Astrophysical Journal,2002-03-00,2002ApJ...568..352V,0,0,0,0,0,0,0
74,The Astrophysical Journal,2002-03-00,2002ApJ...568..352V,0,0,0,0,0,0,0
75,The Astrophysical Journal,2002-12-00,2002ApJ...581.1375M,0,0,0,0,0,0,0
76,Monthly Notices of the Royal Astronomical Society,2002-12-00,2002MNRAS.337.1170J,0,0,0,0,0,0,0
77,Publications of the Astronomical Society of the Pacific,2002-05-00,2002PASP..114..529F,0,0,0,0,0,0,0
78,The Astrophysical Journal,2002-03-00,2002ApJ...568..352V,0,0,0,0,0,0,0
79,The Astrophysical Journal,2003-04-00,2003ApJ...586.1394F,1,0,0,0,0,0,0
80,The Astrophysical Journal,2003-08-00,2003ApJ...593L..43C,0,0,0,0,0,0,0
81,Astronomy and Astrophysics,2003-08-00,2003A%26A...407..679U,0,0,0,0,0,0,0
82,Astronomy and Astrophysics,2003-11-00,2003A%26A...410.1039P,0,0,0,0,0,0,0
83,The Astrophysical Journal,2003-04-00,2003ApJ...587..423T,0,0,0,0,0,0,0
84,Astronomy and Astrophysics,2003-11-00,2003A%26A...410.1051N,0,0,0,0,0,0,0
85,Nature,2003-01-00,2003Natur.421..507K,0,0,0,0,0,0,0
86,The Astrophysical Journal,2003-04-00,2003ApJ...587..423T,0,0,0,0,0,0,0
87,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,1,0,0,0,0,0,0
88,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,1,0,0,0,0,0,0
89,Astronomy and Astrophysics,2003-11-00,2003A%26A...410.1039P,0,0,0,0,0,0,0
90,Monthly Notices of the Royal Astronomical Society,2003-05-00,2003MNRAS.341..948J,0,0,0,0,0,0,0
91,The Astrophysical Journal,2003-04-00,2003ApJ...586.1394F,1,0,0,0,0,0,0
92,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,1,0,0,0,0,0,0
93,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,1,0,0,0,0,0,0
94,The Astrophysical Journal,2003-01-00,2003ApJ...582..455B,1,0,0,0,0,0,0
