NAME,FIRSTREF,FIRSTURL,,
HD 143361 b,Minniti 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M,,
CoRoT-7 b,Queloz 2009 ,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ,, http://adsabs.harvard.edu/abs/2009A%26A...506..287L
BD +14 4559 b,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,
WASP-14 b,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,,
HD 47186 b,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,
HD 40307 d,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,,
WASP-11 b,West 2009 ,http://adsabs.harvard.edu/abs/2009A%26A...502..395W ,, http://adsabs.harvard.edu/abs/2009ApJ...696.1950B
HD 89307 b,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,
11 UMi b,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,,
HD 153950 b,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,
HD 87883 b,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,
HD 131664 b,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,
HD 86264 b,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,
HD 181433 b,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,
BD +20 2457 c,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,
GJ 176 b,Forveille 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..645F,,
42 Dra b,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,,
HD 181433 c,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,
GJ 832 b,Bailey 2009,http://adsabs.harvard.edu/abs/2009ApJ...690..743B,,
WASP-16 b,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,,
HD 96167 b,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,,
HAT-P-13 c,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,,
WASP-7 b,Hellier 2009,http://adsabs.harvard.edu/abs/2009ApJ...690L..89H,,
BD +20 2457 b,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,
HD 7924 b,Howard 2009,http://adsabs.harvard.edu/abs/2009ApJ...696...75H,,
HD 20868 b,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,
HD 145377 b,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,,
HAT-P-9 b,Shporer 2009,http://adsabs.harvard.edu/abs/2009ApJ...690.1393S,,
HD 40307 c,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,,
WASP-6 b,Gillon 2009,http://adsabs.harvard.edu/abs/2009A%26A...501..785G,,
HD 173416 b,Liu 2009,http://adsabs.harvard.edu/abs/2009RAA.....9....1L,,
HD 148427 b,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,
HD 181433 d,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,
CoRoT-5 b,Rauer 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..281R,,
WASP-10 b,Christian 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1585C,,
GJ 1214 b,Charbonneau 2009,http://adsabs.harvard.edu/abs/2009Natur.462..891C,,
MOA-2007-BLG-400L b,Dong 2009,http://adsabs.harvard.edu/abs/2009ApJ...698.1826D,,
HD 16417 b,O'Toole 2009,http://adsabs.harvard.edu/abs/2009ApJ...697.1263O,,
30 Ari B b,Guenther 2009,http://adsabs.harvard.edu/abs/2009A%26A...507.1659G,,
HD 179079 b,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V,,
HD 16175 b,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,,
HIP 14810 d,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W,,
HD 240210 b,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,,
HD 30562 b,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,,
HD 40307 b,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,,
HD 16760 b,Sato 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..671S,,
HD 45364 c,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,,
HAT-P-13 b,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B,,
HD 45364 b,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,,
OGLE2-TR-L9 b,Snellen 2009,http://adsabs.harvard.edu/abs/2009A%26A...497..545S,,
beta Pic b,Lagrange 2009,http://adsabs.harvard.edu/abs/2009A%26A...493L..21L,,
GJ 581 e,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...507..487M,,
HD 147018 c,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,
HD 38801 b,Harakawa 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..550H,,
HD 175167 b,Arriagada 2010,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A,,
HD 95089 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,
HAT-P-16 b,Buchhave 2010,http://adsabs.harvard.edu/abs/2010ApJ...720.1118B,,
WASP-17 b,Anderson 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..159A,,
MOA-2008-BLG-310L b,Janczak 2010,http://adsabs.harvard.edu/abs/2010ApJ...711..731J,,
Kepler-9 b,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,,
HD 215497 c,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,
BD -08 2823 c,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,,
CoRoT-9 b,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,,
HD 4313 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,
HD 43197 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
CoRoT-8 b,Borde 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..66B,,
CoRoT-12 b,Gillon 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..97G,,
HD 145457 b,Sato 2010,http://adsabs.harvard.edu/abs/2010PASJ...62.1063S,,
HD 206610 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,
HD 28254 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
HD 125612 c,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,
HAT-P-15 b,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,,
HD 13931 b,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,,
HR 8799 e,Marois 2010,http://adsabs.harvard.edu/abs/2010Natur.468.1080M,,
WASP-32 b,Maxted 2010,http://adsabs.harvard.edu/abs/2010PASP..122.1465M,,
HD 9446 c,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A&A...513A..69H,,
CoRoT-6 b,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,,
HD 164604 b,Arriagada 2010,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A,,
HD 102956 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010ApJ...721L.153J,,
HD 136418 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,
HD 126614 A b,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,,
WASP-19 b,Hebb 2010,http://adsabs.harvard.edu/abs/2010ApJ...708..224H,,
HD 212771 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,
HD 6718 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
HD 148156 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
CoRoT-11 b,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,,
BD -08 2823 b,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,,
MOA-2009-BLG-266L b,Donnison 2010,http://adsabs.harvard.edu/abs/2010MNRAS.406.1918D,,
gamma Leo A b,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,,
HD 8535 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
NN Ser c,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,,
HAT-P-24 b,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,,
HIP 57050 b,Haghighipour 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..271H,,
Kepler-9 d,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,,
Kepler-9 c,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,,
GJ 179 b,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,,
Kepler-6 b,Dunham 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.136D,,
HD 34445 b,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,,
HD 204313 b,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,
GJ 649 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J,,
WASP-26 b,Smalley 2010,http://adsabs.harvard.edu/abs/2010A%26A...520A..56S,,
OGLE-2007-BLG-368L b,Sumi 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1641S,,
HD 109246 b,Boisse 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..88B,,
HD 147018 b,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,
61 Vir d,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,,
HD 5388 b,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S,,
HD 215497 b,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,
HD 44219 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
CoRoT-10 b,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,,
Kepler-7 b,Latham 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.140L,,
HD 156411 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
HD 181342 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,
HD 1461 b,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1492R,,
WASP-29 b,Hellier 2010,http://adsabs.harvard.edu/abs/2010ApJ...723L..60H,,
HD 181720 b,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S,,
HD 9446 b,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A&A...513A..69H,,
WASP-24 b,Street 2010,http://adsabs.harvard.edu/abs/2010ApJ...720..337S,,
WASP-22 b,Maxted 2010,http://adsabs.harvard.edu/abs/2010AJ....140.2007M,,
Kepler-8 b,Jenkins 2010,http://adsabs.harvard.edu/abs/2010ApJ...724.1108J,,
61 Vir c,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,,
WASP-21 b,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,,
NN Ser d,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,,
HD 180902 b,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,
HAT-P-14 b,Torres 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..458T,,
Kepler-4 b,Borucki 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.126B,,
HIP 5158 b,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,,
HD 171238 b,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,,
HIP 79431 b,Apps 2010,http://adsabs.harvard.edu/abs/2010PASP..122..156A,,
HAT-P-11 b,Bakos 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1724B,,
HD 180314 b,Sato 2010,http://adsabs.harvard.edu/abs/2010PASJ...62.1063S,,
Kepler-5 b,Koch 2010,http://adsabs.harvard.edu/abs/2010ApJ...713L.131K,,
GJ 876 e,Rivera 2010,http://adsabs.harvard.edu/abs/2010ApJ...719..890R,,
HD 290327 b,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,,
61 Vir b,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,,
CoRoT-13 b,Cabrera 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,,
7 CMa b,Wittenmyer 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..184W,,
WASP-35 b,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,,
HD 106270 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
Kepler-23 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-12 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 152581 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
WASP-43 b,Hellier 2011,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H,,
Kepler-39 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-20 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-37 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-29 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-18 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-24 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 28678 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 125595 b,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,,
Kepler-26 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
MOA-2009-BLG-319L b,Miyake 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..120M,,
Kepler-55 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-54 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-25 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 99706 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 82886 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
Kepler-32 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-18 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-20 f,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-11 f,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,
HD 1502 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
Kepler-32 e,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-53 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-30 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-30 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
WASP-34 b,Smalley 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.130S,,
Qatar-1 b,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,,
HD 18742 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 200964 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,
Kepler-11 b,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,
HD 96063 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
CoRoT-18 b,Hebrard 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A.130H,,
HAT-P-22 b,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,,
HD 38283 b,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...732...31T,,
Kepler-69 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-27 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
WASP-39 b,Faedi 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..40F,,
WASP-50 b,Gillon 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..88G,,
Kepler-28 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-45 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-68 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-11 g,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,
HAT-P-30 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJ...735...24J,,
HD 31253 b,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,,
HAT-P-32 b,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,,
WASP-41 b,Maxted 2011,http://adsabs.harvard.edu/abs/2011PASP..123..547M,,
HD 25171 b,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,,
HD 217786 b,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,,
HD 20794 c,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,
HAT-P-29 b,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,,
Kepler-31 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-30 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-48 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 132563 B b,Desidera 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..90D,,
Kepler-61 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
WASP-25 b,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,,
24 Sex b,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,
GJ 667 C c,Bonfils 2011,http://arxiv.org/abs/1111.5019,,
Kepler-56 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-10 b,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,,
WASP-48 b,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,,
Kepler-44 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-53 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
WASP-31 b,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,,
HD 10180 c,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,
Kepler-57 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-49 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 192310 b,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H,,
Kepler-50 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 20794 d,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,
CoRoT-17 b,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,,
HD 5891 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 90156 b,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,,
HD 218566 b,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,,
HD 10180 d,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,
Kepler-58 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-59 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-42 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 108863 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
24 Sex c,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,
Kepler-22 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HAT-P-27 b,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,,
GJ 3634 b,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,,
Kepler-412 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-26 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 7449 b,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,,
HD 142245 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 158038 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HAT-P-26 b,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,,
Kepler-20 e,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 116029 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HAT-P-23 b,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,,
Kepler-28 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-18 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 156668 b,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H,,
HD 85512 b,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,
Kepler-48 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-59 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
WASP-38 b,Barros 2011,http://adsabs.harvard.edu/abs/2011A&A...525A..54B,,
Kepler-29 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-20 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-19 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-62 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-11 d,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,
Kepler-33 e,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 104067 b,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,,
Kepler-21 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 137388 b,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,,
Kepler-14 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-52 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 20794 b,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,
HD 22781 b,Diaz 2011,http://adsabs.harvard.edu/abs/2011EPJWC..1102006D,,
HAT-P-28 b,Buchhave 2011,http://adsabs.harvard.edu/abs/2011ApJ...733..116B,,
HD 102365 b,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..103T,,
TrES-5 b,Mandushev 2011,http://adsabs.harvard.edu/abs/2011ApJ...741..114M,,
Kepler-16 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-36 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-32 d,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
MOA-2009-BLG-387L b,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,,
HD 97658 b,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...10H,,
HD 30856 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 192310 c,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,,
HAT-P-20 b,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,,
HD 10180 e,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,
HD 1690 b,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,,
HD 33142 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 10180 h,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,
HD 200964 c,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,,
WASP-37 b,Simpson 2011,http://adsabs.harvard.edu/abs/2011AJ....141....8S,,
GJ 667 C b,Bonfils 2011,http://arxiv.org/abs/1111.5019,,
Kepler-62 e,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-40 b,Santerne 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..63S,,
Kepler-42 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-27 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-42 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-74 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
alpha Ari b,Lee 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.134L,,
HD 10180 f,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,,
Kepler-15 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 131496 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
HD 102329 b,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,,
WASP-23 b,Triaud 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..24T,,
Kepler-23 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-25 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
Kepler-32 c,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
HD 204941 b,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,,
GJ 676 A b,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,,
HAT-P-21 b,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,,
KOI-13 b,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,
