NAME,FIRSTREF,FIRSTURL,,
HD 216437 b,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.337.1170J,,
HD 68988 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,
HD 50554 b,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,,
HD 141937 b,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,,
HD 33636 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,
HD 4203 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,
HD 4208 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,
55 Cnc d,Marcy 2002,http://adsabs.harvard.edu/abs/2002ApJ...581.1375M,,
HD 196050 b,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.337.1170J,,
HD 106252 b,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F,,
HD 114783 b,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,
HD 12661 c,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,,
HD 70642 b,Carter 2003,http://adsabs.harvard.edu/abs/2003ApJ...593L..43C,,
HD 73256 b,Udry 2003,http://adsabs.harvard.edu/abs/2003A%26A...407..679U,,
HD 8574 b,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,,
HD 30177 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,,
HD 190360 b,Naef 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1051N,,
OGLE-TR-56 b,Konacki 2003,http://adsabs.harvard.edu/abs/2003Natur.421..507K,,
HD 76700 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,,
14 Her b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,
HD 37124 c,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,
HD 190228 b,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,,
tau Gru b,Jones 2003,http://adsabs.harvard.edu/abs/2003MNRAS.341..948J,,
HD 40979 b,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,,
HD 72659 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,
HD 49674 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,
HD 128311 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,
HD 114729 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,
HD 2039 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,,
HD 3651 b,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...590.1081F,,
HD 38529 c,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F,,
HD 108874 b,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,
HD 73526 b,Tinney 2003,http://adsabs.harvard.edu/abs/2003ApJ...587..423T,,
HD 23596 b,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P,,
HD 104985 b,Sato 2003,http://adsabs.harvard.edu/abs/2003ApJ...597L.157S,,
HD 142415 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 74156 b,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,,
OGLE-TR-113 b,Konacki 2004,http://adsabs.harvard.edu/abs/2004ApJ...609L..37K ,,
TrES-1 b,Alonso 2004,http://adsabs.harvard.edu/abs/2004ApJ...613L.153A,,
HD 114386 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 6434 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
OGLE235-MOA53 b,Bond 2004,http://adsabs.harvard.edu/abs/2004ApJ...606L.155B,,
HD 37605 b,Cochran 2004,http://adsabs.harvard.edu/abs/2004ApJ...611L.133C,,
HD 65216 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 74156 c,Naef 2004,http://adsabs.harvard.edu/abs/2004A%26A...414..351N,,
mu Ara d,Santos 2004,http://adsabs.harvard.edu/abs/2004A%26A...426L..19S,,
HD 111232 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
mu Ara c,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M,,
HD 147513 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 216770 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 41004 B b,Zucker 2004,http://adsabs.harvard.edu/abs/2004A%26A...426..695Z,,
HD 154857 b,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M,,
OGLE-TR-111 b,Pont 2004,http://adsabs.harvard.edu/abs/2004A%26A...426L..15P,,
GJ 436 b,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B,,
55 Cnc e,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,,
HD 169830 c,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 330075 b,Pepe 2004,http://adsabs.harvard.edu/abs/2004A%26A...423..385P,,
HD 82943 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 19994 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
OGLE-TR-132 b,Bouchy 2004,http://adsabs.harvard.edu/abs/2004A%26A...421L..13B,,
HD 121504 b,Mayor 2004,http://adsabs.harvard.edu/abs/2004A&A...415..391M,,
HD 82943 c,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,
HD 190360 c,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,
HD 117207 b,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,
HD 188015 b,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,
HD 11977 b,Setiawan 2005,http://adsabs.harvard.edu/abs/2005A%26A...437L..31S,,
OGLE-05-071L b,Udalski 2005,http://adsabs.harvard.edu/abs/2005ApJ...628L.109U,,
HD 37124 d,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,
HD 217107 c,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,
HD 93083 b,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,,
HD 202206 c,Correia 2005,http://adsabs.harvard.edu/abs/2005A%26A...440..751C,,
HD 27894 b,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,,
HD 128311 c,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,
HD 183263 b,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,
HD 2638 b,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,,
HD 45350 b,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,
HD 33564 b,Galland 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..21G,,
OGLE-TR-10 b,Konacki 2005,http://adsabs.harvard.edu/abs/2005ApJ...624..372K,,
GJ 581 b,Bonfils 2005,http://adsabs.harvard.edu/abs/2005A%26A...443L..15B,,
HD 102117 b,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,,
HD 88133 b,Fischer 2005,http://adsabs.harvard.edu/abs/2005ApJ...620..481F,,
