,Journal,Publication_Date,URL_link,Wright_count,ford_count,gilliland_count,kasting_count,luhman_count,sigurdsson_count,wolszczan_count
75,The Astrophysical Journal,2012-12-00,2012ApJ...761...46W,1,1,0,0,0,0,0
76,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
77,Publications of the Astronomical Society of Japan,2012-12-00,2012PASJ...64..135S,0,0,0,0,0,0,0
78,The Astrophysical Journal,2012-09-00,2012ApJ...756L..33Q,0,0,0,0,0,0,0
79,Publications of the Astronomical Society of Japan,2012-04-00,2012PASJ...64...34O,0,0,0,0,0,0,0
80,Astronomy and Astrophysics,2012-10-00,2012A%26A...546A..27B,0,0,0,0,0,0,0
81,The Astronomical Journal,2012-07-00,2012AJ....144...19B,0,0,0,0,0,0,0
82,The Astrophysical Journal,2012-01-00,2012ApJ...745...28G,0,0,0,0,0,0,1
83,The Astrophysical Journal,2012-04-00,2012ApJ...749..134H,0,0,0,0,0,0,0
84,Science,2012-06-00,2012Sci...336.1133N,0,0,0,0,0,0,0
85,Astronomy and Astrophysics,2012-10-00,2012A%26A...546A...5L,0,0,0,0,0,0,0
86,Publications of the Astronomical Society of Japan,2012-12-00,2012PASJ...64..135S,0,0,0,0,0,0,0
87,The Astrophysical Journal,2012-09-00,2012ApJ...756L..39B,0,0,0,0,0,0,0
88,Monthly Notices of the Royal Astronomical Society,2012-05-00,2012MNRAS.422.1988A,0,0,0,0,0,0,0
89,The Astrophysical Journal,2012-04-00,2012ApJ...749...39R,0,0,0,0,0,0,0
90,Science,2012-06-00,2012Sci...336.1133N,0,0,0,0,0,0,0
91,Monthly Notices of the Royal Astronomical Society,2012-10-00,2012MNRAS.426..739H,0,0,0,0,0,0,0
92,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
93,The Astrophysical Journal,2012-05-00,2012ApJ...750..114F,0,1,0,0,0,0,0
94,The Astrophysical Journal,2012-01-00,2012ApJ...744....4G,1,0,0,0,0,0,0
95,The Astrophysical Journal Supplement Series,2013-02-00,1202.5852,0,1,1,0,0,0,0
96,Nature,2012-01-00,2012Natur.481..475W,0,1,1,0,0,0,0
97,The Astrophysical Journal Supplement Series,2013-10-00,2012arXiv1208.3312X,0,0,0,0,0,0,0
98,The Astrophysical Journal,2013-09-00,2013arXiv1307.8128S,0,0,1,0,0,0,0
