,Journal,Publication_Date,URL_link,Wright_count,ford_count,gilliland_count,kasting_count,luhman_count,sigurdsson_count,wolszczan_count
0,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,0,1,1,0,0,0,0
1,Astronomy and Astrophysics,2013-04-00,2013A%26A...552A..82G,0,0,0,0,0,0,0
2,Publications of the Astronomical Society of the Pacific,2013-01-00,2013PASP..125...48M,0,0,0,0,0,0,0
3,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,0,1,1,0,0,0,0
4,Astronomy and Astrophysics,2013-07-00,2013A%26A...555A.118A,0,0,0,0,0,0,0
5,Astronomy and Astrophysics,2014-03-00,2013arXiv1311.5271M,0,0,0,0,0,0,0
6,Astronomy and Astrophysics,2013-04-00,2013A%26A...552A..70K,0,0,0,0,0,0,0
7,Publications of the Astronomical Society of Japan,2013-08-00,2013arXiv1304.4328S,0,0,0,0,0,0,0
8,The Astrophysical Journal,2013-08-00,2013arXiv1305.7428R,0,0,0,0,0,0,0
9,Science,2013-05-00,2013Sci...340..587B,0,1,0,0,0,0,0
10,The Astrophysical Journal,2014-01-00,2013arXiv1310.6248C,0,0,0,0,0,0,0
11,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,0,1,1,0,0,0,0
12,The Astrophysical Journal,2013-05-00,2013ApJ...768..127S,0,0,0,0,0,0,0
13,The Astrophysical Journal,2014-01-00,2013arXiv1310.6248C,0,0,0,0,0,0,0
14,Astronomy and Astrophysics,2013-09-00,2013A%26A...557A..74G,0,0,0,0,0,0,0
15,Astronomy and Astrophysics,2014-03-00,2013arXiv1311.5271M,0,0,0,0,0,0,0
16,Astronomy and Astrophysics,2014-03-00,2013arXiv1311.5271M,0,0,0,0,0,0,0
17,Astronomy and Astrophysics,2013-08-00,2013A%26A...556A.110B,0,0,0,0,0,0,0
18,The Astrophysical Journal,2013-10-00,2013ApJ...776...10W,0,0,0,0,0,0,0
19,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,0,1,1,0,0,0,0
20,Astronomy and Astrophysics,2013-03-00,2013A%26A...551A..73F,0,0,0,0,0,0,0
21,Astronomy and Astrophysics,2013-03-00,2013A%26A...551A..73F,0,0,0,0,0,0,0
22,The Astrophysical Journal Supplement Series,2013-02-00,2013ApJS..204...24B,0,1,1,0,0,0,0
23,The Astrophysical Journal,2014-01-00,2013arXiv1310.6248C,0,0,0,0,0,0,0
24,The Astrophysical Journal,2014-01-00,2013arXiv1310.6248C,0,0,0,0,0,0,0
